ウェブアクセシビリティが確保されている状態で期待されることはどれですか？（正しい回答を選択してください）,目が見えなくても情報が伝わる・操作できる,音声コンテンツだけで情報が伝わる,一部の色が区別できなくても情報が欠けない,文字サイズがすべて固定されている,目が見えなくても情報が伝わる・操作できる
制作時に代替テキストを付けるべきでない場合はどれですか？（正しい回答を選択してください）,画像がリンクとして使用されている場合,装飾目的で意味を持たない画像の場合,図表の要約を記載する場合,ロゴマークを表現する場合,装飾目的で意味を持たない画像の場合
キーボード操作が必須となる場面で、適切でない対応はどれですか？（間違った回答を選択してください）,キーボードでフォーカスを移動可能にする,マウス操作を無効化する,全てのリンクを隠す,特定のブラウザ専用に設計する,マウス操作を無効化する
動画コンテンツにおけるアクセシビリティ対応として、避けるべき行動はどれですか？（間違った回答を選択してください）,字幕を追加する,自動再生を防ぐ,視覚エフェクトを派手にする,音声説明を提供する,視覚エフェクトを派手にする
アニメーションの点滅速度について、間違っている説明はどれですか？（間違った回答を選択してください）,点滅は1秒間に3回を超えるべきではない,点滅速度に制限はない,点滅が早いと発作を誘発する可能性がある,1秒に2回の点滅は問題ない,点滅速度に制限はない
色覚特性のある人に配慮するための適切な方法はどれですか？（正しい回答を選択してください）,色だけでなく形状やテキストでも情報を伝える,色の使用を完全に避ける,赤と青を優先的に使用する,カラフルなデザインを全面採用する,色だけでなく形状やテキストでも情報を伝える
高齢者がウェブを利用しやすくするために重要なのはどれですか？（正しい回答を選択してください）,テキストの読みやすさを確保する,動画をすべて削除する,スクロールを無効化する,色の使用を禁止する,テキストの読みやすさを確保する
「音声の自動再生」を避ける理由として適切でないものはどれですか？（間違った回答を選択してください）,他のページへのアクセスを妨げる可能性がある,ユーザーの操作感を損なう可能性がある,音声が完全に不要である,突然の音が迷惑になる場合がある,音声が完全に不要である
アクセシビリティの誤解として正しいものはどれですか？（正しい回答を選択してください）,自動チェックツールですべての問題が解決する,色だけで情報を伝えるべきではない,音声操作が不要である,特定のアクセシビリティ機能を優先すれば他は無視してよい,色だけで情報を伝えるべきではない
制限時間がある操作において、適切でない対応はどれですか？（間違った回答を選択してください）,制限時間の延長手段を提供しない,制限時間の設定を行わない,ユーザーに制限時間を通知する,一時停止機能を設ける,制限時間の延長手段を提供しない
画像の代替テキストで重要なポイントはどれですか？（正しい回答を選択してください）,画像の意味を明確に伝える内容を記載する,デザインに関する背景情報を記載する,画像ファイル名を記載する,画像の色やサイズだけを記載する,画像の意味を明確に伝える内容を記載する
キーボード操作時のフォーカスインジケーターで注意すべき点はどれですか？（正しい回答を選択してください）,フォーカスが見える形で示されていること,フォーカス位置がランダムに移動すること,マウス操作時のみフォーカスを示すこと,フォーカスインジケーターを非表示にすること,フォーカスが見える形で示されていること
アクセシビリティの向上で誤解されがちな点はどれですか？（間違った回答を選択してください）,アクセシビリティ対応は一度実施すれば十分である,動画には字幕を付ける必要がある,自動チェックツールでは一部の問題しか解決できない,色覚特性に配慮して情報を伝える必要がある,アクセシビリティ対応は一度実施すれば十分である
フォームに制限時間を設ける場合、避けるべき行動はどれですか？（間違った回答を選択してください）,制限時間があることを通知しない,制限時間を延長可能にする,セッション時間を無制限に設定する,制限時間が切れる前に警告を出す,制限時間があることを通知しない
画面上に動き続ける要素がある場合、推奨される対応はどれですか？（正しい回答を選択してください）,一時停止または非表示の機能を提供する,動き続ける要素を増やす,利用者が停止できないようにする,動きを速めてユーザーの注意を引く,一時停止または非表示の機能を提供する
アクセシビリティ試験で確認すべき重要なポイントはどれですか？（正しい回答を選択してください）,全てのページで達成基準に適合していること,ユーザーがアクセスしにくい部分があること,デザインが派手であること,自動チェックツールの結果のみを確認すること,全てのページで達成基準に適合していること
色覚特性を持つ利用者が困難を感じやすいデザインはどれですか？（間違った回答を選択してください）,赤と緑のみで重要な情報を伝える,テキストで補足説明を付ける,形状やテキストで情報を伝える,高コントラストを利用する,赤と緑のみで重要な情報を伝える
高齢者が使いやすいウェブサイトの設計で適切なのはどれですか？（正しい回答を選択してください）,フォントサイズを調整可能にする,ページ内のリンクを目立たなくする,動画コンテンツの音量を固定する,スクロールを禁止する,フォントサイズを調整可能にする
音声コンテンツに字幕を付ける理由として適切なのはどれですか？（正しい回答を選択してください）,聴覚障害のある利用者が内容を理解できるようにするため,コンテンツの視覚的魅力を減らすため,動画を他のメディアより優位にするため,音声の質を向上させるため,聴覚障害のある利用者が内容を理解できるようにするため
WCAG（Web Content Accessibility Guidelines）における原則でないものはどれですか？（間違った回答を選択してください）,知覚可能,操作可能,理解可能,統一可能,統一可能